"Data","Produto","Categoria","Região","Unidades Vendidas","Preço Unitário","Receita","Custo","Lucro"
"2023-01-01 00:00:00","Moda","Roupas","Norte","72"," $ 500.00 "," $ 36,000.00 "," $ 22,320.00 "," $ 13,680.00 "
"2023-01-02 00:00:00","Casa","Móveis","Oeste","28"," $ 1,000.00 "," $ 28,000.00 "," $ 19,320.00 "," $ 8,680.00 "
"2023-01-03 00:00:00","Moda","Roupas","Sul","36"," $ 500.00 "," $ 18,000.00 "," $ 14,220.00 "," $ 3,780.00 "
"2023-01-04 00:00:00","Casa","Móveis","Sul","39"," $ 1,000.00 "," $ 39,000.00 "," $ 25,740.00 "," $ 13,260.00 "
"2023-01-05 00:00:00","Casa","Móveis","Sul","40"," $ 1,000.00 "," $ 40,000.00 "," $ 30,000.00 "," $ 10,000.00 "
"2023-01-06 00:00:00","Moda","Roupas","Norte","72"," $ 500.00 "," $ 36,000.00 "," $ 25,920.00 "," $ 10,080.00 "
"2023-01-07 00:00:00","Moda","Roupas","Norte","25"," $ 500.00 "," $ 12,500.00 "," $ 8,250.00 "," $ 4,250.00 "
"2023-01-08 00:00:00","Eletrônicos","Celular","Sul","29"," $ 2,500.00 "," $ 72,500.00 "," $ 50,025.00 "," $ 22,475.00 "
"2023-01-09 00:00:00","Moda","Roupas","Leste","7"," $ 500.00 "," $ 3,500.00 "," $ 2,275.00 "," $ 1,225.00 "
"2023-01-10 00:00:00","Casa","Móveis","Leste","93"," $ 1,000.00 "," $ 93,000.00 "," $ 62,310.00 "," $ 30,690.00 "
"2023-01-11 00:00:00","Moda","Roupas","Norte","69"," $ 500.00 "," $ 34,500.00 "," $ 21,045.00 "," $ 13,455.00 "
"2023-01-12 00:00:00","Eletrônicos","Celular","Leste","85"," $ 2,500.00 "," $ 212,500.00 "," $ 150,875.00 "," $ 61,625.00 "
"2023-01-13 00:00:00","Eletrônicos","Celular","Sul","33"," $ 2,500.00 "," $ 82,500.00 "," $ 58,575.00 "," $ 23,925.00 "
"2023-01-14 00:00:00","Casa","Móveis","Oeste","95"," $ 1,000.00 "," $ 95,000.00 "," $ 61,750.00 "," $ 33,250.00 "
"2023-01-15 00:00:00","Moda","Roupas","Norte","28"," $ 500.00 "," $ 14,000.00 "," $ 9,380.00 "," $ 4,620.00 "
"2023-01-16 00:00:00","Casa","Móveis","Leste","80"," $ 1,000.00 "," $ 80,000.00 "," $ 55,200.00 "," $ 24,800.00 "
"2023-01-17 00:00:00","Casa","Móveis","Leste","14"," $ 1,000.00 "," $ 14,000.00 "," $ 9,240.00 "," $ 4,760.00 "
"2023-01-18 00:00:00","Moda","Roupas","Norte","69"," $ 500.00 "," $ 34,500.00 "," $ 24,840.00 "," $ 9,660.00 "
"2023-01-19 00:00:00","Eletrônicos","Celular","Sul","85"," $ 2,500.00 "," $ 212,500.00 "," $ 148,750.00 "," $ 63,750.00 "
"2023-01-20 00:00:00","Moda","Roupas","Sul","64"," $ 500.00 "," $ 32,000.00 "," $ 21,760.00 "," $ 10,240.00 "
"2023-01-21 00:00:00","Eletrônicos","Celular","Oeste","95"," $ 2,500.00 "," $ 237,500.00 "," $ 161,500.00 "," $ 76,000.00 "
"2023-01-22 00:00:00","Moda","Roupas","Norte","6"," $ 500.00 "," $ 3,000.00 "," $ 2,010.00 "," $ 990.00 "
"2023-01-23 00:00:00","Moda","Roupas","Leste","54"," $ 500.00 "," $ 27,000.00 "," $ 16,200.00 "," $ 10,800.00 "
"2023-01-24 00:00:00","Eletrônicos","TV","Oeste","47"," $ 3,500.00 "," $ 164,500.00 "," $ 106,925.00 "," $ 57,575.00 "
"2023-01-25 00:00:00","Eletrônicos","Celular","Norte","56"," $ 2,500.00 "," $ 140,000.00 "," $ 88,200.00 "," $ 51,800.00 "
"2023-01-26 00:00:00","Casa","Móveis","Sul","48"," $ 1,000.00 "," $ 48,000.00 "," $ 36,000.00 "," $ 12,000.00 "
"2023-01-27 00:00:00","Moda","Roupas","Oeste","38"," $ 500.00 "," $ 19,000.00 "," $ 11,970.00 "," $ 7,030.00 "
"2023-01-28 00:00:00","Eletrônicos","Celular","Norte","93"," $ 2,500.00 "," $ 232,500.00 "," $ 165,075.00 "," $ 67,425.00 "
"2023-01-29 00:00:00","Moda","Roupas","Sul","47"," $ 500.00 "," $ 23,500.00 "," $ 18,330.00 "," $ 5,170.00 "
"2023-01-30 00:00:00","Casa","Móveis","Norte","34"," $ 1,000.00 "," $ 34,000.00 "," $ 23,800.00 "," $ 10,200.00 "
"2023-01-31 00:00:00","Eletrônicos","TV","Leste","8"," $ 3,500.00 "," $ 28,000.00 "," $ 16,800.00 "," $ 11,200.00 "
"2023-02-01 00:00:00","Eletrônicos","Celular","Oeste","80"," $ 2,500.00 "," $ 200,000.00 "," $ 142,000.00 "," $ 58,000.00 "
"2023-02-02 00:00:00","Casa","Móveis","Oeste","51"," $ 1,000.00 "," $ 51,000.00 "," $ 31,110.00 "," $ 19,890.00 "
"2023-02-03 00:00:00","Eletrônicos","Celular","Sul","8"," $ 2,500.00 "," $ 20,000.00 "," $ 14,000.00 "," $ 6,000.00 "
"2023-02-04 00:00:00","Eletrônicos","Celular","Norte","95"," $ 2,500.00 "," $ 237,500.00 "," $ 144,875.00 "," $ 92,625.00 "
"2023-02-05 00:00:00","Moda","Roupas","Sul","50"," $ 500.00 "," $ 25,000.00 "," $ 17,500.00 "," $ 7,500.00 "
"2023-02-06 00:00:00","Casa","Móveis","Oeste","5"," $ 1,000.00 "," $ 5,000.00 "," $ 4,000.00 "," $ 1,000.00 "
"2023-02-07 00:00:00","Moda","Roupas","Oeste","12"," $ 500.00 "," $ 6,000.00 "," $ 4,140.00 "," $ 1,860.00 "
"2023-02-08 00:00:00","Moda","Roupas","Sul","67"," $ 500.00 "," $ 33,500.00 "," $ 22,445.00 "," $ 11,055.00 "
"2023-02-09 00:00:00","Eletrônicos","TV","Sul","44"," $ 3,500.00 "," $ 154,000.00 "," $ 120,120.00 "," $ 33,880.00 "
"2023-02-10 00:00:00","Casa","Móveis","Sul","42"," $ 1,000.00 "," $ 42,000.00 "," $ 33,600.00 "," $ 8,400.00 "
"2023-02-11 00:00:00","Eletrônicos","Celular","Norte","97"," $ 2,500.00 "," $ 242,500.00 "," $ 179,450.00 "," $ 63,050.00 "
"2023-02-12 00:00:00","Casa","Móveis","Norte","49"," $ 1,000.00 "," $ 49,000.00 "," $ 35,770.00 "," $ 13,230.00 "
"2023-02-13 00:00:00","Moda","Roupas","Norte","74"," $ 500.00 "," $ 37,000.00 "," $ 25,160.00 "," $ 11,840.00 "
"2023-02-14 00:00:00","Eletrônicos","TV","Oeste","96"," $ 3,500.00 "," $ 336,000.00 "," $ 265,440.00 "," $ 70,560.00 "
"2023-02-15 00:00:00","Casa","Móveis","Norte","46"," $ 1,000.00 "," $ 46,000.00 "," $ 33,580.00 "," $ 12,420.00 "
"2023-02-16 00:00:00","Eletrônicos","Celular","Leste","79"," $ 2,500.00 "," $ 197,500.00 "," $ 118,500.00 "," $ 79,000.00 "
"2023-02-17 00:00:00","Eletrônicos","TV","Oeste","40"," $ 3,500.00 "," $ 140,000.00 "," $ 86,800.00 "," $ 53,200.00 "
"2023-02-18 00:00:00","Eletrônicos","TV","Leste","71"," $ 3,500.00 "," $ 248,500.00 "," $ 188,860.00 "," $ 59,640.00 "
"2023-02-19 00:00:00","Moda","Roupas","Leste","8"," $ 500.00 "," $ 4,000.00 "," $ 2,800.00 "," $ 1,200.00 "
"2023-02-20 00:00:00","Moda","Roupas","Oeste","29"," $ 500.00 "," $ 14,500.00 "," $ 10,585.00 "," $ 3,915.00 "
"2023-02-21 00:00:00","Moda","Roupas","Leste","41"," $ 500.00 "," $ 20,500.00 "," $ 13,735.00 "," $ 6,765.00 "
"2023-02-22 00:00:00","Eletrônicos","Móveis","Sul","19"," $ 1,000.00 "," $ 19,000.00 "," $ 12,160.00 "," $ 6,840.00 "
"2023-02-23 00:00:00","Moda","Roupas","Oeste","54"," $ 500.00 "," $ 27,000.00 "," $ 19,440.00 "," $ 7,560.00 "
"2023-02-24 00:00:00","Eletrônicos","TV","Leste","6"," $ 3,500.00 "," $ 21,000.00 "," $ 12,600.00 "," $ 8,400.00 "
"2023-02-25 00:00:00","Eletrônicos","TV","Oeste","2"," $ 3,500.00 "," $ 7,000.00 "," $ 4,830.00 "," $ 2,170.00 "
"2023-02-26 00:00:00","Casa","Móveis","Norte","26"," $ 1,000.00 "," $ 26,000.00 "," $ 19,500.00 "," $ 6,500.00 "
"2023-02-27 00:00:00","Casa","Móveis","Sul","93"," $ 1,000.00 "," $ 93,000.00 "," $ 60,450.00 "," $ 32,550.00 "
"2023-02-28 00:00:00","Casa","Móveis","Leste","7"," $ 1,000.00 "," $ 7,000.00 "," $ 5,250.00 "," $ 1,750.00 "
"2023-03-01 00:00:00","Moda","Roupas","Norte","15"," $ 500.00 "," $ 7,500.00 "," $ 4,950.00 "," $ 2,550.00 "
"2023-03-02 00:00:00","Eletrônicos","TV","Sul","53"," $ 3,500.00 "," $ 185,500.00 "," $ 113,155.00 "," $ 72,345.00 "
"2023-03-03 00:00:00","Eletrônicos","TV","Leste","69"," $ 3,500.00 "," $ 241,500.00 "," $ 152,145.00 "," $ 89,355.00 "
"2023-03-04 00:00:00","Eletrônicos","TV","Oeste","42"," $ 3,500.00 "," $ 147,000.00 "," $ 101,430.00 "," $ 45,570.00 "
"2023-03-05 00:00:00","Eletrônicos","TV","Norte","41"," $ 3,500.00 "," $ 143,500.00 "," $ 99,015.00 "," $ 44,485.00 "
"2023-03-06 00:00:00","Eletrônicos","Celular","Oeste","65"," $ 2,500.00 "," $ 162,500.00 "," $ 99,125.00 "," $ 63,375.00 "
"2023-03-07 00:00:00","Eletrônicos","Celular","Norte","9"," $ 2,500.00 "," $ 22,500.00 "," $ 13,500.00 "," $ 9,000.00 "
"2023-03-08 00:00:00","Eletrônicos","TV","Leste","3"," $ 3,500.00 "," $ 10,500.00 "," $ 6,930.00 "," $ 3,570.00 "
"2023-03-09 00:00:00","Moda","Roupas","Norte","36"," $ 500.00 "," $ 18,000.00 "," $ 11,520.00 "," $ 6,480.00 "
"2023-03-10 00:00:00","Eletrônicos","TV","Sul","57"," $ 3,500.00 "," $ 199,500.00 "," $ 133,665.00 "," $ 65,835.00 "
"2023-03-11 00:00:00","Casa","Móveis","Leste","69"," $ 1,000.00 "," $ 69,000.00 "," $ 46,230.00 "," $ 22,770.00 "
"2023-03-12 00:00:00","Eletrônicos","Celular","Sul","95"," $ 2,500.00 "," $ 237,500.00 "," $ 156,750.00 "," $ 80,750.00 "
"2023-03-13 00:00:00","Eletrônicos","TV","Leste","14"," $ 3,500.00 "," $ 49,000.00 "," $ 38,710.00 "," $ 10,290.00 "
"2023-03-14 00:00:00","Moda","Roupas","Norte","30"," $ 500.00 "," $ 15,000.00 "," $ 11,850.00 "," $ 3,150.00 "
"2023-03-15 00:00:00","Casa","Móveis","Norte","24"," $ 1,000.00 "," $ 24,000.00 "," $ 18,240.00 "," $ 5,760.00 "
"2023-03-16 00:00:00","Eletrônicos","TV","Leste","89"," $ 3,500.00 "," $ 311,500.00 "," $ 239,855.00 "," $ 71,645.00 "
"2023-03-17 00:00:00","Eletrônicos","TV","Norte","99"," $ 3,500.00 "," $ 346,500.00 "," $ 266,805.00 "," $ 79,695.00 "
"2023-03-18 00:00:00","Casa","Móveis","Sul","66"," $ 1,000.00 "," $ 66,000.00 "," $ 50,160.00 "," $ 15,840.00 "
"2023-03-19 00:00:00","Moda","Roupas","Norte","78"," $ 500.00 "," $ 39,000.00 "," $ 23,400.00 "," $ 15,600.00 "
"2023-03-20 00:00:00","Moda","Roupas","Oeste","5"," $ 500.00 "," $ 2,500.00 "," $ 1,625.00 "," $ 875.00 "
